S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1B,1.28,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
2,1/C1,0.62,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
3,1/2,1.35,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
4,2/C1C1,0.33,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
5,2/C1B,1.14,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
6,3/3B,1.44,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
7,3/2,2.02,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
8,4/B,0.50,KALLUDEVANAHALLI-(1202010),0,05-09-2014,-,"GAVIMATT SAMASTHANAM, URAVAKONDA",ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
9,4/B2,0.50,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
10,5/B1A1,0.30,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
11,5/B1B,0.69,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
12,5/B2B,0.15,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
13,5/B1A7,1.80,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE -IV,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
14,5/B1A6,1.82,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE -IV,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
15,5/B1A2,1.82,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE -IV,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
16,5/B1A3,1.82,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE -IV,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
17,5/B1A4,1.82,KALLUDEVANAHALLI-(1202010),E2/644/2016,14-03-2018,ANNEXURE -IV,-,ANANTAPUR,BOMMANAHAL,KALLUDEVANAHALLI,2026-02-25 02:30:59
