S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,63.10,CHELIMENAHALLI-(1220005),RCNO.E2/644/2016,14-03-2018,ANNEXURE -II SECTION -22(A),-,ANANTAPUR,BRAHMASAMUDRAM,CHELIMENAHALLI,2026-02-25 02:42:32
2,2,1.83,CHELIMENAHALLI-(1220005),RCNO.E2/644/2016,14-03-2018,ANNEXURE -II SECTION -22(A),-,ANANTAPUR,BRAHMASAMUDRAM,CHELIMENAHALLI,2026-02-25 02:42:32
3,4,0.41,CHELIMENAHALLI-(1220005),RCNO.E2/644/2016,14-03-2018,ANNEXURE -II SECTION -22(A),-,ANANTAPUR,BRAHMASAMUDRAM,CHELIMENAHALLI,2026-02-25 02:42:32
4,5,0.49,CHELIMENAHALLI-(1220005),RCNO.E2/644/2016,14-03-2018,ANNEXURE -II SECTION -22(A),-,ANANTAPUR,BRAHMASAMUDRAM,CHELIMENAHALLI,2026-02-25 02:42:32
5,6/4,0.70,CHELIMENAHALLI-(1220005),RCNO.E2/644/2016,14-03-2018,ANNEXURE -II SECTION -22(A),-,ANANTAPUR,BRAHMASAMUDRAM,CHELIMENAHALLI,2026-02-25 02:42:32
6,6/1,1.05,CHELIMENAHALLI-(1220005),RCNO.E2/644/2016,14-03-2018,ANNEXURE -I SECTION -22(A),-,ANANTAPUR,BRAHMASAMUDRAM,CHELIMENAHALLI,2026-02-25 02:42:32
7,6/2,0.97,CHELIMENAHALLI-(1220005),RCNO.E2/644/2016,14-03-2018,ANNEXURE -I SECTION -22(A),-,ANANTAPUR,BRAHMASAMUDRAM,CHELIMENAHALLI,2026-02-25 02:42:32
8,6/3,0.84,CHELIMENAHALLI-(1220005),RCNO.E2/644/2016,14-03-2018,ANNEXURE -I SECTION -22(A),-,ANANTAPUR,BRAHMASAMUDRAM,CHELIMENAHALLI,2026-02-25 02:42:32
9,9/2,0.95,CHELIMENAHALLI-(1220005),RCNO.E2/644/2016,14-03-2018,ANNEXURE -II SECTION -22(A),-,ANANTAPUR,BRAHMASAMUDRAM,CHELIMENAHALLI,2026-02-25 02:42:32
10,9/3,0.24,CHELIMENAHALLI-(1220005),RCNO.E2/644/2016,14-03-2018,ANNEXURE -II SECTION -22(A),-,ANANTAPUR,BRAHMASAMUDRAM,CHELIMENAHALLI,2026-02-25 02:42:32
11,10/2,0.68,CHELIMENAHALLI-(1220005),RCNO.E2/644/2016,14-03-2018,ANNEXURE -II SECTION -22(A),-,ANANTAPUR,BRAHMASAMUDRAM,CHELIMENAHALLI,2026-02-25 02:42:32
