S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,11,0.52,KALLURU-(1213006),SEC 22 -A (1)(C),-,ANNEXURE III,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
2,33,0.41,KALLURU-(1213006),SEC 22 -A (1)(C),-,ANNEXURE III,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
3,34,1.01,KALLURU-(1213006),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
4,44,1.70,KALLURU-(1213006),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
5,84,0.19,KALLURU-(1213006),SEC 22 -A (1)(C),-,ANNEXURE III,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
6,87,0.80,KALLURU-(1213006),SEC 22 -A (1)(C),-,ANNEXURE III,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
7,89,1.16,KALLURU-(1213006),SEC 22 -A (1)(C),-,ANNEXURE III,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
8,129,0.25,KALLURU-(1213006),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
9,130,0.89,KALLURU-(1213006),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
10,141,0.44,KALLURU-(1213006),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
11,161,0.79,KALLURU-(1213006),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
12,194,4.28,KALLURU-(1213006),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
13,201,0.45,KALLURU-(1213006),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
14,201/2,1.50,KALLURU-(1213006),RC.NO.E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
15,203/3,0.42,KALLURU-(1213006),RC.NO.E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
16,203/2,1.15,KALLURU-(1213006),RC.NO.E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
17,204/12,0.96,KALLURU-(1213006),RC.NO.E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
18,204/9,1.01,KALLURU-(1213006),RC.NO.E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,GARLADINNE,KALLURU,2026-02-25 03:45:52
