S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,10,0.81,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
2,13,0.42,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
3,14,0.70,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
4,25,0.86,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
5,32,0.80,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
6,42,0.31,KESAVAPURAM-(1213003),SEC 22 -A (1)(C),-,ANNEXURE III,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
7,43,0.18,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
8,44,0.37,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
9,50,1.27,KESAVAPURAM-(1213003),SEC 22 -A (1)(C),-,ANNEXURE III,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
10,51,1.02,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
11,52,0.81,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
12,60,1.65,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
13,65,0.41,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
14,87,1.19,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
15,88,3.06,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
16,90,2.70,KESAVAPURAM-(1213003),R.C.NO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GARLADINNE,KESAVAPURAM,2026-02-25 03:49:46
