S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,2.27,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
2,2/1B,4.19,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
3,2/1,4.12,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
4,2/4,5,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
5,2/1A,1.81,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
6,2/1C,3.46,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
7,2/D,1.54,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
8,2/4F,0.56,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
9,2/4F,0.48,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
10,2/4G,3.87,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
11,2/4H,0.56,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
12,2/4H,1.73,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
13,2/4H,0.58,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
14,2/4H,0.63,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
15,2/4H,0.50,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
16,2/1,5,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
17,2/2,5,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
18,2/3,1.45,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
19,2/2,4.41,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
20,3/1,3.19,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
21,3/4,3.03,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
22,3/3,3.05,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
23,3/2,3,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
24,4/2,5,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
25,4/1,3.59,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
26,5/4H,0.58,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I SEC-22A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
27,5/4F,0.52,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
28,5/4H,0.56,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I SEC-22A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
29,5/4H,1.73,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I SEC-22A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
30,5/4H,0.63,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I SEC-22A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
31,5/4H,0.50,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I SEC-22A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
32,5/1,2.85,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
33,5/2,2.70,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
34,5/3,3.15,KOTANKA-(1213013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,GARLADINNE,KOTANKA,2026-02-25 03:52:46
