S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,5/B,5,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
2,5/B,5,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
3,5/B,4.95,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
4,5/E,4.99,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
5,5/A,0.01,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,-,ANNEXURE-I,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
6,5/B,6.19,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
7,7/C,10.04,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
8,8/B,1.54,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
9,8/A,12.82,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
10,10/B1,2.05,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
11,40,2.10,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
12,46,13.75,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
13,47,6.26,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
14,48/B,3.66,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
15,48/A,8.80,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
16,48/C,4.81,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
17,64/11,4,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
18,64/15,4,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
19,64/1,1,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
20,64/5,19.11,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
21,64/19,1.76,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
22,64/12,0.97,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,-,ANNEXURE-I,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
23,64/8,2,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
24,68,5.94,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
25,88/A1A,0.02,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
26,88/A1B,0.05,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
27,94/3,4.64,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
28,94/2,4.64,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
29,94/1,5.25,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
30,94,0.01,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
31,100,0.38,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
32,102/B,12.41,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
33,105/A1,1.75,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
34,105/A1,5,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
35,105/A1,4.98,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
36,105/A1,3,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
37,105/A1,4.90,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
38,105/B,3.26,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
39,105/A3,4.98,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,-,ANNEXURE 1,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
40,105/A4,5,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
41,105/A3,5,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
42,105/A1,3,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
43,105/A5,4.98,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
44,105/B,0.01,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,-,ANNEXURE-I,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
45,113,17.61,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
46,117/4,1.72,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
47,117/5,2.18,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
48,117/6,2.12,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
49,117/9,2.25,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
50,117/12,2,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
51,117/C,2.71,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
52,117,1.53,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
53,117/11,1,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
54,117/8,1.18,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,-,ANNEXURE 1,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
55,127,9.17,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
56,133/2,3.06,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
57,133/1,4.41,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
58,134/A,1.05,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
59,136,9.36,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
60,138,3.57,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
61,155,1.50,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
62,157/4,1.05,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
63,157/3,0.41,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
64,157/2,0.32,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
65,157/2,0.28,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
66,157/3,0.83,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
67,157/5,1.13,DHARMAPURAM-(1206005),E2/644/2016,14-03-2016,ANNEX-1 SEC22A (1)(A),M.PEDDANNA,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
68,158/3,3.28,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
69,158/2,0.38,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I,ANNEXURE-I,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
70,159/2,1.02,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
71,159/3,2.76,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
72,159/1,3,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
73,159/1,1.53,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
74,160/2,1.61,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
75,160/4,1.70,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
76,161/3,0.78,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
77,161/1,1.50,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
78,161/3,1.02,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
79,162/2,1,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
80,162/3,1.92,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
81,162/4,0.90,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
82,163/2,1,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
83,163/1,2.58,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
84,164/2B,2.15,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
85,164/2A,2.18,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
86,164/3,0.01,DHARMAPURAM-(1206005),E2/644/2016,22-11-2018,ANNEXURE 1,ANNEX 1,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
87,165,4.60,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
88,165/5,1.25,DHARMAPURAM-(1206005),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,DHARMAPURAM,2026-02-25 04:07:34
