S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/B,0.46,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
2,5,3.17,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
3,17/B,1.34,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
4,18/B,0.85,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
5,27/C,0.25,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
6,37/B,0.54,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
7,37/D,1,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
8,38/B,1.40,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
9,39/B/4,1.20,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
10,39,2,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
11,39/A/1,4.12,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
12,39/A2,5,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
13,39/B/3,1.21,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
14,39,1.46,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
15,40/B6,0.15,ERRAGUDI-(1206015),43/2007(B1),15-03-2007,-,M.SUNKANNA,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
16,40/A/B,2.58,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
17,40/A1/2,0.50,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
18,40/A2,0.50,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
19,40/A3,0.50,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
20,40/A4,0.50,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
21,40/A5,0.50,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
22,40,3.42,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
23,41/5,0.50,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
24,41/5/A,0.50,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
25,41/5C,0.51,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
26,41/5D,0.50,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
27,41/1,2.82,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
28,41/2,0.05,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
29,42/B1,2.51,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
30,42/D,0.61,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
31,43,5.94,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
32,44/B,1.53,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
33,44/B,3.07,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
34,44/B,1.53,ERRAGUDI-(1206015),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,ERRAGUDI,2026-02-25 04:08:52
