S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/C,0.47,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
2,3/B6,0.75,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
3,4,11.28,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
4,5,12.73,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
5,6/A,3.56,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
6,7/A,5.68,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
7,8/A,5.50,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
8,12/D,0.03,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
9,22/B,0.44,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
10,27,0.03,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
11,37/C,0.06,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
12,37/B,0.44,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
13,38/B,0.11,ESWARAPALLE-(1206013),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,ESWARAPALLE,2026-02-25 04:09:28
