S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,0.53,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
2,2/3,0.82,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
3,2/2,2.46,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
4,2/3,0.82,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
5,2/3,0.82,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
6,2,5.33,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
7,4,0.58,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
8,6,7.50,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
9,6,64.80,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
10,10/2B,4.44,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
11,10/2A,4,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
12,11/3,2.48,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
13,12/2,4.40,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
14,12/1,2.50,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
15,12/1,2.50,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
16,13,2.39,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
17,17/1,2,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
18,17,2,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
19,17,1.99,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
20,18,0.29,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
21,19/1,0.28,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
22,19/7,0.54,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
23,20/2,1.68,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
24,21/1,0.50,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
25,22/1,2.34,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
26,22/2,1.38,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
27,22/4,18.25,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
28,22/3,0.57,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
29,24,31.50,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
30,25,1.94,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
31,26,1.56,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
32,27,0.21,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
33,28,1.67,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
34,29/6,1,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
35,29/4,5.10,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
36,29/8,0.81,RAJAPURAM-(1206009),LR NO 22 AND 24 -2017 NH 67 NEW/A3/2025,17-07-2025,EXECUTIVE ENGINEER R AND B NH DIVIOSION ANANTHAPUR REC DT 19.08.2025,LAND ACQUISITION,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
37,29/3,3.10,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
38,29/2B1,1.36,RAJAPURAM-(1206009),LR NO 02/03/2016/NH 67 NEW/MPL/RPM/A3/25,18-06-2025,EXECUTIVE ENGINEER NHAI ANANTHAPUR,LAND ACQUISITION NHAI,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
39,29/2A2,0.53,RAJAPURAM-(1206009),LR NO 02/03/2016/NH 67 NEW/MPL/RPM/A3/25,18-06-2025,EXECUTIVE ENGINEER NHAI ANANTHAPUR,LAND ACQUISITION NHAI,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
40,29/1,5.10,RAJAPURAM-(1206009),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
41,30/5,1.12,RAJAPURAM-(1206009),LR NO 22 AND 24 -2017 NH 67 NEW/A3/2025,17-07-2025,EXECUTIVE ENGINEER R AND B NH DIVIOSION ANANTHAPUR REC DT 19.08.2025,LAND ACQUISITION,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
42,30/3,0.55,RAJAPURAM-(1206009),LR NO 22 AND 24 -2017 NH 67 NEW/A3/2025,17-07-2025,EXECUTIVE ENGINEER R AND B NH DIVIOSION ANANTHAPUR REC DT 19.08.2025,LAND ACQUISITION,ANANTAPUR,GOOTY,RAJAPURAM,2026-02-25 04:19:15
