S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,57.82,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
2,2,3.23,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
3,3,119.38,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
4,3,4.45,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
5,3,2.15,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
6,11/2,2.41,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
7,11/1,1.90,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
8,13/1,2.99,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
9,13/2,1.38,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
10,22/B,1.76,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
11,22/B,1.77,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
12,22/C,3.74,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
13,22/C,1.80,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
14,22/D,5.57,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
15,22/E,3.02,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
16,22/E,1.20,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
17,22/B,1.50,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
18,22/A,0.84,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
19,22/A,1.93,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
20,22/A,1.10,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
21,22/C,1.14,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
22,40/A,1.65,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
23,42,0.90,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-II SECTION22A(1)(B),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
24,42,0.82,UBICHERLA-(1206003),E2/644/2016,14-03-2018,ANNEXURE-I SECTION22A(1)(A),-,ANANTAPUR,GOOTY,UBICHERLA,2026-02-25 04:21:35
