S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,6,19.26,PULAKUNTA-(1219008),MEMONO.G1/7106/2014,20-08-2014,-,"SRI THIMMAPPA SWAMY TEMPLE,79.PULAKUNTA",ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
2,6,19.28,PULAKUNTA-(1219008),RC NO E2/644/2016,23-03-2016,ANNE3 SEC 22A(1)(C),THIMMAPPA SWAMY TEMPLE,ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
3,10,47.55,PULAKUNTA-(1219008),MEMONO.G1/7106/2014,20-08-2014,-,"SRI POTHAPPA SWAMY TEMPLE,79.PULAKUNTA",ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
4,10,47.55,PULAKUNTA-(1219008),RC NO E2/644/2016,23-03-2016,ANNE3 SEC 22A(1)(C),POTHAPPA SWAMY TEMPLE,ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
5,11,4.21,PULAKUNTA-(1219008),RC NO E2/644/2016,23-03-2016,"DIST COLLECTOR,ATP, ANNE 2 SEC 22A(1)(B)",GOVT LAND,ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
6,11,4.21,PULAKUNTA-(1219008),RC NO E2/644/2016,14-03-2018,RC NO E2/644/2016 DIST COLL ATP,ANNE2 SEC22A(1)(B),ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
7,13,4.49,PULAKUNTA-(1219008),MEMONO.G1/7106/2014,20-08-2014,-,"SRI POTHAPPA SWAMY TEMPLE,79.PULAKUNTA",ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
8,13,4.49,PULAKUNTA-(1219008),RC NO E2/644/2016,23-03-2016,ANNE3 SEC 22A(1)(C),POTHAPPA SWAMY TEMPLE,ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
9,14,1.54,PULAKUNTA-(1219008),RC NO E2/644/2016,23-03-2016,"DIST COLLECTOR,ATP, ANNE 2 SEC 22A(1)(B)",GOVT LAND,ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
10,14,1.54,PULAKUNTA-(1219008),RC NO E2/644/2016,14-03-2018,RC NO E2/644/2016 DIST COLL ATP,ANNE2 SEC22A(1)(B),ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
11,20,1.14,PULAKUNTA-(1219008),RC NO E2/644/2016,23-03-2016,"DIST COLLECTOR,ATP, ANNE 2 SEC 22A(1)(B)",GOVT LAND,ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
12,20,1.14,PULAKUNTA-(1219008),RC NO E2/644/2016,14-03-2018,RC NO E2/644/2016 DIST COLL ATP,ANNE2 SEC22A(1)(B),ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
13,22,2.51,PULAKUNTA-(1219008),RC NO E2/644/2016,23-03-2016,"DIST COLLECTOR,ATP, ANNE 2 SEC 22A(1)(B)",GOVT LAND,ANANTAPUR,GUMMAGATTA,PULAKUNTA,2026-02-25 04:32:14
