S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/A,5.52,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
2,1/A,2,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
3,1/A,7,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
4,4,3.16,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
5,5,51.09,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
6,8/3,2.05,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
7,8,8.78,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
8,9,11.68,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
9,13,4.34,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
10,21,2.44,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
11,22,3.53,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
12,26,0.57,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
13,28,2.11,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
14,29/A2,1.08,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
15,29/A1,50.73,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
16,29/A3,2.73,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
17,29/B,0.49,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
18,32,1.70,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
19,34/A,1.55,DOSALUDIKI-(1205005),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,DOSALUDIKI,2026-02-25 04:42:41
