S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,5.45,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
2,2,4.74,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
3,3,10.32,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
4,4,7.96,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
5,5,7.96,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
6,6,4.92,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
7,7,2.22,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
8,10,2,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
9,10,1.16,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
10,11/B1,0.89,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
11,11/B2,5.50,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
12,12,4.31,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
13,13/B,3.40,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
14,15,3.72,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
15,17/B,1.49,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
16,20,8.70,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
17,20,4.21,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
18,20,1.46,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
19,21,0.74,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
20,22,2.19,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
21,22,2.18,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
22,22,2.18,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
23,22,2.18,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22 A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
24,23,4,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
25,23,4.54,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
26,30/B,0.44,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
27,30/A,1.01,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
28,41,6.42,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
29,42,1.40,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
30,42,4.70,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
31,42,4.12,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
32,42/B,1.50,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
33,42/B,1.40,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
34,42/B,1.40,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
35,42/B,1.40,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
36,42/B,1.40,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
37,42/B,1.40,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
38,42/B,1.50,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
39,46/B,6.13,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-II SECTION 22A(1)(B),GOVT LAND,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
40,46/B,1.50,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
41,46/B,1.50,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
42,47/A,2.51,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
43,48/A,5.79,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
44,48/A,5.78,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
45,50,2.62,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
46,50,1.97,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
47,50,3.05,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
48,50,3.05,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
49,50,3.05,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
50,51,1.62,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
51,51,1.62,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
52,51,0.77,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
53,51,2.63,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
54,51,0.66,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
55,58,1.90,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
56,58,1.91,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
57,58,1.91,KOGANAPALLE-(1205007),E2/644/2016,14-03-2018,ANNEXURE-I SECTION 22A(1)(A),-,ANANTAPUR,GUNTAKAL,KOGANAPALLE,2026-02-25 04:46:53
