S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,4.15,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
2,1,4.16,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
3,1,8.30,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
4,3/A/2B,0.25,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
5,3/B,0.42,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
6,3/A/2B,0.58,NAKKANADODDI-(1205013),RC NO E2/644/2016,14-03-2019,ANNE1 SEC 22A(1)(A),ANNE1 SEC 22A(1)(A),ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
7,3/A/2B,0.52,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
8,3/A/2B,0.38,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
9,3/A/2B,0.39,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
10,3/A/2B,0.39,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
11,3/A/2B,0.38,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
12,3/A/2B,0.57,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
13,3/A/2B,0.58,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
14,3/A/2B,0.58,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
15,3/A1,2.65,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
16,3/A1,1.10,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
17,3/A1,0.75,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
18,3/A1,1.10,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
19,3/A1,5,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
20,3/A1,2.31,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
21,3/A1,1.10,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
22,3/A1,0.75,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
23,3/A1,0.75,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
24,3/A1,0.75,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
25,3/A1,0.75,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
26,3/A1,0.75,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
27,3/A1,1.10,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
28,3/B,0.30,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
29,3/B,0.35,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
30,3/A,4.72,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
31,4/6,3.89,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
32,4,5.33,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
33,4/1,0.51,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
34,4/5,3.90,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
35,4/3,1.69,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
36,4/4,0.49,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
37,4/2,1.19,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
38,6/A1,0.50,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
39,6/C,4.86,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
40,6/E,2.18,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
41,6/F,4.10,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
42,6/H,2.65,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
43,6/A,19.34,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
44,6/D,0.31,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
45,6/G,4.15,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
46,9/B,1.55,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
47,12,12.84,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
48,12/2,1.40,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
49,14,8.06,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
50,14,3.17,NAKKANADODDI-(1205013),GUNTAKAL MRO LETTER NO A/07/2013,04-01-2013,-,P.VISWANATHGUPTHA,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
51,14,3.17,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
52,14,8.06,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
53,15,5,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
54,15,8.06,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
55,15,4.89,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
56,15,1.85,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
57,18,5.76,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
58,29,13.55,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
59,30,1.62,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
60,32,3.55,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
61,34,1.75,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
62,35/2,0.50,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
63,35/1,20.54,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
64,44,2.23,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
65,44/1,0.77,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
66,49,2.90,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
67,50/B1,0.33,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
68,50/B2,0.68,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
69,50/B1,0.34,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
70,52/1,0.50,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
71,52/3,3,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
72,52/1,0.50,NAKKANADODDI-(1205013),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,NAKKANADODDI,2026-02-25 04:49:44
