S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,4/A1,5,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
2,4,2.42,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
3,4/A1,7,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
4,4/A2,0.51,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
5,4/A1,2.42,SANGALA-(1205004),RC NO E2/644/2016,14-03-2018,ANNE 1 SEC 22A(1)(A),ANNE1 SEC22A(1)(A),ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
6,6,2.11,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
7,13/2,2.60,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
8,13/1,4.80,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
9,16/C2,3.16,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
10,17/2,2.12,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
11,20/2,4.99,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
12,21/2,0.59,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
13,23/2,0.22,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
14,24/2,3.53,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
15,32/2,6.38,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
16,34/A2,7.55,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
17,34/B,0.10,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
18,35/2,4.30,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
19,35/B,25.78,SANGALA-(1205004),-,-,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
20,35/B,-,SANGALA-(1205004),-,-,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
21,35,25.78,SANGALA-(1205004),RCNO.E2/644/2016,22-03-2016,DC.ATP RECEIVED ON 30.4.2016,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
22,36/2,4.80,SANGALA-(1205004),RCNO.E2/644/2016,14-03-2018,-,-,ANANTAPUR,GUNTAKAL,SANGALA,2026-02-25 04:53:53
