S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,4/2D,3.63,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
2,4/2C,3.63,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
3,4/2B,3.63,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
4,4/2A,3.63,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
5,5/2B3,4.26,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
6,5/2B4,4.26,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
7,5/2B2,4.26,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
8,5/3,5.40,EAST KODIPALLE-(1223009),O.S.NO 59/2023,-,INJUNCTION ORDER,-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
9,5/2B1,4.26,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
10,5/2B5,4.26,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
11,7/1A,3.86,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
12,7/1A2,3.86,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
13,7/1A3,3.86,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
14,7/1C,3.16,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
15,7/1A5,3.20,EAST KODIPALLE-(1223009),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KALYANDURG,EAST KODIPALLE,2026-02-25 05:01:25
