S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2/2,0.52,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
2,8,4.66,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
3,11/2,0.42,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
4,12/1,1.26,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
5,14,1.95,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
6,16,0.74,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
7,18,0.61,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
8,20/2,0.64,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
9,22,0.79,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
10,29/2,0.36,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
11,30,0.96,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
12,31/1,0.10,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
13,31/2,0.84,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
14,32,38.30,KURUBARAHALLI-(1223012),NN1/34576/07,31-12-2008,-,-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
15,32,38.30,KURUBARAHALLI-(1223012),G1/7106/2014,20-08-2014,-,SRI BHEERAPPA DEVATHA TEMPLE,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
16,33/1,0.09,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
17,34,0.86,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
18,35,0.84,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
19,38,0.55,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
20,41,0.73,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
21,42,1.18,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
22,43,1.18,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
23,44,2.96,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
24,46,0.86,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
25,46,0.86,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
26,48/2,0.22,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
27,50/2,0.68,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
28,55/1,1.36,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
29,57/1,1.06,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
30,58/A3,1.02,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
31,59,0.86,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
32,66/2,0.41,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
33,72/3,0.58,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
34,73/4,0.47,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
35,74/2,0.37,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
36,75/3,0.20,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
37,77/4,1.41,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
38,79/3,0.84,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
39,81/1,1.26,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
40,87,1.38,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
41,88,1.04,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
42,93/2,0.89,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
43,96,6.42,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
44,97,6.80,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
45,99/1,0.54,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
46,100/1,61.42,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
47,104/2,0.74,KURUBARAHALLI-(1223012),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22-A(1)(B),-,ANANTAPUR,KALYANDURG,KURUBARAHALLI,2026-02-25 05:09:44
