S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC22A(1)(A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
2,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC22A(1)(A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
3,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC22A(1)(A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
4,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1)(A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
5,0/3,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1)(A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
6,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
7,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
8,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
9,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
10,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
11,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
12,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
13,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
14,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
15,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
16,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
17,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
18,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
19,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
20,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
21,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
22,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
23,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
24,0/0,0,MUDDINAYANAPALLE-(1223007),E2/644/2016,14-03-2018,ANNEXURE-1 SEC-22A (1) (A),-,ANANTAPUR,KALYANDURG,MUDDINAYANAPALLE,2026-02-25 05:19:50
