S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,2,3.51,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
2,3/1G,2.37,PALAVOY-(1223014),I.A.NO. 329/2022,13-03-2023,INJUCTION ORDER SCJ ATP.,-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
3,4,3.35,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
4,5/2,2.77,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
5,8/1B,3.94,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
6,9,29.84,PALAVOY-(1223014),NN1/34576/07,31-12-2008,-,-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
7,9,6.94,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
8,10/2B2,1.27,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
9,10/1,15.79,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
10,10/2B4,0.02,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
11,11/1,3.02,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
12,12/1,20,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
13,13/2C2,0.84,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
14,13/2C2,0.75,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
15,13/1C2,0.23,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
16,13/1C2,0.35,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
17,13/1C2,0.58,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
18,13/1C2,0.57,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
19,14,1.69,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
20,15,2.17,PALAVOY-(1223014),E2/644/2016,14-03-2018,ANNEXURE-II SEC 22-A (1) (B),-,ANANTAPUR,KALYANDURG,PALAVOY,2026-02-25 05:23:08
