S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,13.79,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - II - SEC 22-A(1)(B),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
2,7,83.92,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - II - SEC 22-A(1)(B),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
3,10/4,0.52,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
4,10/4,0.52,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
5,10/4,0.52,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
6,10/4,0.52,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
7,10/4,0.52,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
8,10/4,0.52,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
9,10/4,0.52,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
10,16/2,9.50,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
11,16/2A,9,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
12,16/5,2,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
13,16/2,9.50,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
14,16/2A,9,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
15,16/5,2,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
16,20/3,1,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
17,20/3,1,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
18,24/5,2.53,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
19,24/10,2.60,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
20,24/3,2.53,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
21,24/4,2.53,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
22,24/6,2.53,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
23,24/7,2.53,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
24,24/8,2.53,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
25,24/9,2.60,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
26,24/10,2.60,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
27,24/2,2.53,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
28,24/3,2.53,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
29,24/4,2.53,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
30,24/5,2.53,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
31,24/6,2.53,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
32,24/7,2.53,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
33,24/8,2.53,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
34,24/9,2.60,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
35,24/2,2.53,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
36,28/2,2.50,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
37,28/1,2.50,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - IV SEC -22A-A(1)(D),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
38,36,71.89,PALLUR-(1234002),NN1/34576/07,31-12-2008,-,-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
39,36,71.89,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",SRI ANJANEYA SWAMY TEMPLE,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
40,36,71.89,PALLUR-(1234002),G1/7106/2014,20-08-2014,-,SRI ANJINEYA SWAMY TEMPLE,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
41,42/1,1.34,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - II - SEC 22-A(1)(B),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
42,42/4,3.28,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE - II - SEC 22-A(1)(B),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
43,42/1,0.16,PALLUR-(1234002),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
44,42/4,0.22,PALLUR-(1234002),RCNO.E2/644/2016,22-03-2016,"DIST COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,PALLUR,2026-02-25 05:55:37
