S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,5/2,1.42,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
2,7/1,0.58,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
3,9/1,0.47,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
4,10/1,0.25,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
5,11/1,0.65,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
6,12/2,0.58,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
7,18/1,0.84,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
8,19/1,0.44,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
9,25,30.55,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
10,26/1,0.20,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
11,26/1,0.25,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
12,27/1,0.64,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
13,28/5,0.94,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
14,29,1.64,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
15,32/3,0.73,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
16,33/2,0.21,RALLAPALLE-(1234008),E2/644/2016,14-03-2018,ANNEXURE - II SEC -22-A(1)(B),-,ANANTAPUR,KAMBADUR,RALLAPALLE,2026-02-25 06:01:01
