S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/2C,1.73,RAMAPURAM-(1234003),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
2,1/1,4,RAMAPURAM-(1234003),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
3,1/2,1.72,RAMAPURAM-(1234003),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
4,1/2C,1.73,RAMAPURAM-(1234003),RCNO.E2/644/2016,22-03-2016,DIST COLLECTOR RECIEVED ON 30.4.2016,-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
5,1/2,1.72,RAMAPURAM-(1234003),RCNO.E2/644/2016,22-03-2016,DIST COLLECTOR RECIEVED ON 30.4.2016,-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
6,1/2B,1.72,RAMAPURAM-(1234003),RCNO.E2/644/2016,22-03-2016,DIST COLLECTOR RECIEVED ON 30.4.2016,-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
7,1/2B,1.72,RAMAPURAM-(1234003),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
8,3/1,5.09,RAMAPURAM-(1234003),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
9,3/2,5.10,RAMAPURAM-(1234003),RCNO.E2/644/2016,22-03-2016,DIST COLLECTOR RECIEVED ON 30.4.2016,-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
10,3/1,5.09,RAMAPURAM-(1234003),RCNO.E2/644/2016,22-03-2016,DIST COLLECTOR RECIEVED ON 30.4.2016,-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
11,3/2,5.10,RAMAPURAM-(1234003),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
12,4/1,4.46,RAMAPURAM-(1234003),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
13,4/2,3.50,RAMAPURAM-(1234003),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,RAMAPURAM,2026-02-25 06:04:44
