S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/5,5,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
2,1/5,4.92,THIMMAPURAM-(1234010),RCNO.E2/644/2016,22-03-2016,"DSIT COLLECTOR,ATP,RECEIVED ON 30.4.2016",-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
3,1/7,3.46,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
4,1/8,3.34,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
5,1/11,3.27,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
6,1/9,3.20,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
7,1/10,2.72,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
8,1/11,3.27,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
9,1/12,2.37,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
10,1/14,4.07,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
11,1/15,3.37,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
12,1/16,2.77,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
13,1/17,2.87,THIMMAPURAM-(1234010),E2/644/2016,14-03-2018,ANNEXURE I SECTION 22-A(1)(A),-,ANANTAPUR,KAMBADUR,THIMMAPURAM,2026-02-25 06:10:09
