S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,368.28,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE -II,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
2,2/A7,1.93,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE-I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
3,2/A27,3.48,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
4,2/A2,0.32,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
5,2/A3,0.91,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
6,2/A4,1.62,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
7,2/A5,1.05,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
8,2/A6,0.20,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
9,2/A8,1.51,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
10,2/A9,1.21,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
11,2/A10,1.34,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
12,2/A11,1.56,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
13,2/A12,1.31,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
14,2/A13,1.73,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
15,2/A14,2.71,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
16,2/A15,1.09,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
17,2/A16,0.51,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
18,2/A17,0.29,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
19,2/A18,0.22,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
20,2/A19A,0.70,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
21,2/A19B,1.28,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
22,2/A19C,1.43,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
23,2/A19D,1.55,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
24,2/A19E,1.50,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
25,2/A19F,1,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
26,2/A19G,2,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
27,2/A19H,1.26,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
28,2/A19I,1.10,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
29,2/A19J,0.21,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
30,2/A20,0.55,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
31,2/A23,0.81,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
32,2/A21,0.36,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
33,2/A22,1.84,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
34,2/A24,0.49,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
35,2/A25,3.11,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
36,2/A26,1.74,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
37,2/A1,0.30,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
38,3/1,2,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
39,3/2,1.33,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
40,3/5,0.13,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
41,3/4,0.61,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
42,3/3,1.33,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
43,4/1,0.17,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
44,4/2,1.05,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
45,4/3,0.65,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
46,4/7,0.40,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
47,4/5,1.15,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
48,4/6,0.80,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
49,4/4,0.96,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
50,5/4,1,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
51,5/5,0.75,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
52,5/6,1.27,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
53,5/3,0.36,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
54,5/1,0.60,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
55,5/2,0.60,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
56,5/7,1.18,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
57,6/1,4.45,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
58,6/4,4.45,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
59,6/3,4.45,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
60,6/2,4.45,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
61,7/3,0.32,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE -II,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
62,7/5,1,BENNIKAL-(1217004),E2/644/2016,14-03-2018,ANNEXURE -II,-,ANANTAPUR,KANEKAL,BENNIKAL,2026-02-25 06:11:19
