S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/A2A,1.59,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
2,1/F,0.93,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
3,1/A2B,1.84,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
4,1/A2C,1.79,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
5,1/A2D,1.84,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
6,1/A2E,0.79,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
7,1/B,0.70,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
8,1/D2,0.04,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
9,1/A1A,193.40,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
10,1/A1B,14.10,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
11,1/A1C,11.05,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
12,1/C1,4.40,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
13,1/D1,0.89,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
14,5/A,0.53,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
15,6/A,0.33,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
16,7/A2,0.20,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
17,7/B2,1.59,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
18,8/A2,1.24,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
19,8/B2,0.91,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
20,9/A2,0.11,MALYAM-(1217014),E2/644/2016,14-03-2018,ANNEXURE-II,-,ANANTAPUR,KANEKAL,MALYAM,2026-02-25 06:20:43
