S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,12/4,2.35,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
2,12/3,2.34,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
3,12/2,2.25,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
4,12/1,2.25,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
5,17/1,2.83,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
6,17/4,3.33,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
7,17/3,3.33,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
8,17/2,3.34,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
9,29/A1,5.08,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
10,29/A2,5.08,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
11,29/B1C,1.31,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
12,29/B1A,5,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
13,29/B1B,5,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
14,29/A3,5.09,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
15,32/3,1.10,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
16,32/21,2,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
17,32/2,2,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
18,32/4,1.10,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
19,32/5,1.10,THUMBIGANUR-(1217008),E2/644/2016,14-03-2018,ANNEXURE-IV,-,ANANTAPUR,KANEKAL,THUMBIGANUR,2026-02-25 06:24:29
