S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/B,178.19,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
2,1/A,0.59,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
3,4/B,0.99,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
4,5/B2,0.89,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
5,5/A2,0.18,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
6,7/B,0.76,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
7,10/A,1.53,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
8,11/A,0.66,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
9,13/A,1.45,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
10,14,2.25,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
11,16,3.62,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
12,20/C,0.37,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
13,21/D,0.42,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
14,21/D,0.42,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
15,21/B,0.56,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
16,29,1.88,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
17,33,3.11,UDEGOLAM-(1217009),0,27-06-2016,"COMMISSIONER ENDOWMENT,ATP",0,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
18,35,1.06,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
19,40,1.13,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
20,48,3.45,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
21,49,0.51,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
22,54,2.06,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
23,55,2.96,UDEGOLAM-(1217009),-,-,-,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
24,55,2.96,UDEGOLAM-(1217009),0,27-06-2016,"COMMISSIONER ENDOWMENT,ATP",0,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
25,56,6.83,UDEGOLAM-(1217009),0,27-06-2016,"COMMISSIONER ENDOWMENT,ATP",0,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
26,56,6.83,UDEGOLAM-(1217009),-,-,-,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
27,59,0.74,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
28,60,1.28,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
29,62,0.66,UDEGOLAM-(1217009),0,27-06-2016,"COMMISSIONER ENDOWMENT,ATP",0,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
30,62,0.66,UDEGOLAM-(1217009),-,-,-,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
31,64,1.42,UDEGOLAM-(1217009),-,-,-,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
32,64,1.44,UDEGOLAM-(1217009),0,27-06-2016,"COMMISSIONER ENDOWMENT,ATP",0,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
33,65/A,1.05,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - I,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
34,68,1.47,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
35,83,3.73,UDEGOLAM-(1217009),0,27-06-2016,"COMMISSIONER ENDOWMENT,ATP",0,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
36,83,3.73,UDEGOLAM-(1217009),-,-,-,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
37,84,3.46,UDEGOLAM-(1217009),E2/644/2016,14-03-2018,ANNEXURE - II,-,ANANTAPUR,KANEKAL,UDEGOLAM,2026-02-25 06:25:17
