S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/2A1,0.45,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
2,1/3,2.50,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
3,1/2B1,2.50,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
4,1/2A2,0.50,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
5,2/1,4.94,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
6,2/4,1.22,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
7,2/3,5,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
8,2/2,4.84,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
9,3,4.56,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
10,4/1,1.25,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
11,4/2A,1.60,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
12,4/1A,1.25,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
13,4/1B,1.25,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
14,4/1C,1.25,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
15,4/5,1.83,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
16,4/2B,1.70,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
17,4/3,5,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
18,4/4,5,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
19,4/5,1.84,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
20,4/2,1.70,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
21,6,3.08,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
22,6,8,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
23,6,4,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
24,8/1A,5,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
25,8/2,0.88,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
26,8/1C,3.35,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
27,8/1B,5,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
28,9/1,178.22,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
29,10,2.79,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
30,10,0.91,GOTUKURU-(1214007),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
31,12,1.81,GOTUKURU-(1214007),-,-,-,-,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
32,12,1.18,GOTUKURU-(1214007),SEC-22-A(1)(C)-A-III,24-06-2016,"WA NOS343/15,232/12,352/13-24.06.2016",SRI ANJANEYA SWAMYTEMPLE,ANANTAPUR,KUDAIR,GOTUKURU,2026-02-25 06:28:52
