S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,-,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-1 SEC22A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
2,1,-,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-1 SEC22A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
3,1,-,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-1 SEC22A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
4,1,-,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-1 SEC22A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
5,1,-,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-1 SEC22A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
6,1,-,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-1 SEC22A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
7,1,-,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-1 SEC22A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
8,1,-,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-1 SEC22A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
9,2/4,4,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
10,2/3,4,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
11,2/2,4,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
12,2/6,0.97,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
13,2/5,5,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
14,2/1,4,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
15,3/2,1.68,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
16,3/2,1.68,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
17,3/2,1.68,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
18,3/2,5.47,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
19,3/2,5.05,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
20,5/3,5,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
21,5/1,4.38,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
22,5/2,4.52,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
23,9/2,5.12,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
24,9/2A,10,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
25,9/2,9,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
26,10/3,2.54,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
27,10/3,2.54,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
28,10/2,4.81,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
29,11,2.54,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
30,11,3.08,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
31,11,2.54,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
32,12/1,2.73,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
33,12/1,2.39,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
34,12/1,2.39,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
35,17/1,4,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
36,17/2,5.50,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
37,17/5,3.50,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
38,17/6,4,KUDAIR-(1214009),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,KUDAIR,2026-02-25 06:43:26
