S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/2,24.01,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
2,1/1D,5,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
3,1/1A,3.08,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
4,1/1B,5,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
5,1/1C,5,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
6,2,4.71,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
7,3,3.07,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
8,4,17.72,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
9,5,41.77,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
10,6,2.55,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
11,7,10.15,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
12,8,6.45,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
13,9,5.59,MAVINAMARDHANAHALLI-(1214012),E2/644/2016,14-03-2018,ANNEXURE-II-SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,MAVINAMARDHANAHALLI,2026-02-25 06:46:17
