S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1B1,3.74,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-IV-SEC 22-A(1)(D),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
2,12/1,3.32,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
3,12/2,0.81,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
4,12/2,2.41,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
5,12/2,1.60,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
6,15,3.20,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
7,17,7.30,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
8,18/1,3.21,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
9,20,40.78,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
10,21/A,0.04,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
11,21/B,0.05,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
12,21/C,0.08,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
13,21/D,0.02,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
14,27,0.36,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
15,36/2,1.25,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
16,36/2,0.12,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
17,41,1.97,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
18,41,1.97,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
19,41,1.97,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
20,41,1.97,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
21,41,1.97,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
22,41,1.97,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
23,41,1.97,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
24,41,5.71,THIMMAPURAM-(1214013),SEC-22-A(1)(C)-A-III,24-06-2016,"WA NOS343/15,232/12,352/13-24.06.2016",SRI ANJANEYA SWAMY TEMPLE,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
25,43,2,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
26,43,2.80,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
27,43,5.52,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
28,43,6.50,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
29,43,2.80,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
30,45,1.70,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
31,45,2.18,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
32,45,1.70,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
33,45,5.46,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
34,46/2,7.04,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
35,46/1,5.78,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
36,46/1,8,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
37,46/2,7.04,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
38,50,2.14,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
39,50,3.14,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
40,50,2.14,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
41,50,2.14,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
42,51,2.02,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
43,51,2.04,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
44,51,2.02,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
45,51,2.02,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
46,53,5.38,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
47,53,5.38,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
48,54,1.25,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
49,54,0.90,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
50,54,1.25,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE - II SEC 22-A(1)(B),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
51,54,3.50,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
52,55,5.32,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
53,55,3.32,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
54,57,1,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
55,57,2.50,THIMMAPURAM-(1214013),E2/644/2016,14-03-2018,ANNEXURE-I - SEC 22-A(1)(A),-,ANANTAPUR,KUDAIR,THIMMAPURAM,2026-02-25 06:47:29
