S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1/1,3.93,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE IV SECTION 22A(1)(D),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
2,1/4,3.93,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE IV SECTION 22A(1)(D),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
3,1/3,3.93,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE IV SECTION 22A(1)(D),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
4,1/2,3.93,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE IV SECTION 22A(1)(D),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
5,2/2,1.36,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
6,5,82.56,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
7,5/1F,0.66,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
8,5/1,0.66,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
9,5/1,2.55,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
10,5/2,2.10,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
11,5/3,2.02,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
12,5/4,3.95,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
13,5/5,4.31,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
14,5/6,2.95,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
15,5/7,2.74,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
16,5/9,2,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
17,5/11,3,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
18,5/31,0.80,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
19,5/1F,0.68,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
20,5/12,2.43,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
21,5/13,1.50,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
22,5/14,1.20,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
23,5/15,1.12,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
24,5/16,1.20,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
25,5/17,0.50,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
26,5/18,0.50,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
27,5/19,0.86,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
28,5/20,0.72,JAMBUGUMPALA-(1222010),E2/644/2016,14-03-2018,ANNEXURE-I SECION22A(1)(A),-,ANANTAPUR,KUNDURPI,JAMBUGUMPALA,2026-02-25 06:58:21
