S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,5,6.25,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
2,10,1.73,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
3,20,7.31,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
4,21,4.65,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
5,22,6.37,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
6,23,186.81,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
7,25,1.56,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
8,26/2,0.30,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
9,28/2,0.79,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
10,29/1,1.14,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
11,29/3,0.47,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
12,30/2,0.18,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
13,35/1,0.33,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
14,36/1,0.33,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
15,36/3,2.57,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
16,37/1,3.56,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
17,38/2,2.17,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
18,39/1,0.18,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
19,39/3,0.72,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
20,44/1,0.30,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
21,44/2,1.92,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
22,45/4,0.54,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
23,48/1,0.47,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
24,56/3,0.74,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
25,58/3,0.25,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
26,60/1,0.44,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
27,61/1,15.86,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
28,61/2,2.32,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
29,61/3,1.18,MALLAPURAM-(1222005),E2/644/2016,14-03-2018,ANNEXURE II SECTION 22A(1)(B),-,ANANTAPUR,KUNDURPI,MALLAPURAM,2026-02-25 07:07:17
