S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,85.50,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
2,2/1,0.40,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
3,2/3,5.40,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
4,9,1.10,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
5,16,0.34,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
6,18,0.80,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
7,23/10,1.33,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
8,23/11,2.71,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
9,23/13,2.30,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
10,23/14,2.27,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
11,23/15,3.86,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
12,23/16,2.46,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
13,23/18,0.18,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
14,23/19,2.65,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
15,23/20,0.30,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
16,23/25,2.78,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
17,23/27,2,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
18,23/27,0.20,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
19,23/1,0.26,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
20,23/7,0.22,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
21,23/12,1.60,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
22,23/17,4.35,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
23,23/21,0.28,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
24,23/22,0.36,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
25,23/23,0.38,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
26,23/24,0.22,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
27,23/26,1.70,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
28,23/28,0.97,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
29,23/5,1.95,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
30,23/2,4.82,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
31,23/4,1.26,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
32,23/6,1.83,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
33,23/8,2.47,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
34,23/9,2.66,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
35,28/2,0.68,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
36,30/8,0.16,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
37,32/3,0.82,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
38,32/4,0.79,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
39,32/1,0.35,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
40,32/5,0.05,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
41,34/2,0.96,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
42,34/1A,4,BANDLAPALLE-(1227010),DC ATP E4/89/2022,31-01-2022,SEC 22 AIB,-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
43,34/3B,0.34,BANDLAPALLE-(1227010),DIS NO 97/2024,17-02-2024,ADDL JUNIOR CIVIL JUDGE ANANTAPUR,"IANO90/2024,OSNO 256/2024",ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
44,36,1.18,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
45,38/7,0.09,BANDLAPALLE-(1227010),DIS NO 97/2024,17-02-2024,ADDL JUNIOR CIVIL JUDGE ANANTAPUR,"IANO90/2024,OSNO 256/2024",ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
46,38/8A,0.10,BANDLAPALLE-(1227010),DIS NO 97/2024,17-02-2024,ADDL JUNIOR CIVIL JUDGE ANANTAPUR,"IANO90/2024,OSNO 256/2024",ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
47,38/6B,0.09,BANDLAPALLE-(1227010),DIS NO 97/2024,17-02-2024,ADDL JUNIOR CIVIL JUDGE ANANTAPUR,"IANO90/2024,OSNO 256/2024",ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
48,38/3,0.34,BANDLAPALLE-(1227010),DIS NO 97/2024,17-02-2024,ADDL JUNIOR CIVIL JUDGE ANANTAPUR,"IANO90/2024,OSNO 256/2024",ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
49,39/2,7.68,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
50,41/1,2.64,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
51,41/2,1.15,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
52,42/4,3.81,BANDLAPALLE-(1227010),DIS NO 97/2024,17-02-2024,ADDL JUNIOR CIVIL JUDGE ANANTAPUR,"IANO90/2024,OSNO 256/2024",ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
53,42/3B,0.61,BANDLAPALLE-(1227010),DIS NO 97/2024,17-02-2024,ADDL JUNIOR CIVIL JUDGE ANANTAPUR,"IANO90/2024,OSNO 256/2024",ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
54,52/1,7.12,BANDLAPALLE-(1227010),ANNEXURE III AC ENDOWMENT DEPT,29-06-2016,22 [A] [1] [C],AHOBILA NARASIMHA SWAMY TEMPLE,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
55,52/1,7.12,BANDLAPALLE-(1227010),RC.NO.NN1/34576/07,29-12-2008,-,-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
56,52/1,7.12,BANDLAPALLE-(1227010),RC.NO.NN1/34576/07,29-12-2008,-,-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
57,52/1,7.12,BANDLAPALLE-(1227010),RC.NO.NN1/34576/07,29-12-2008,-,-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
58,63/1,0.44,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
59,63/3,0.26,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
60,63/5B,0.08,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
61,63/5A,0.11,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
62,64/2,0.44,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
63,67/3,0.02,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
64,67/1,1.02,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
65,67/2,0.08,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
66,70/B,0.03,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
67,70/D,0.30,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
68,70/C,0.04,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
69,70/A,0.03,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
70,72/1,1.28,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
71,73/1,0.46,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
72,74/1,0.48,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
73,75/1,0.94,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
74,78/1,1.54,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
75,86,7.34,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
76,87/1,0.98,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
77,88,7.74,BANDLAPALLE-(1227010),ANNEXURE III AC ENDOWMENT DEPT,29-06-2016,22 [A] [1] [C],AHOBILA NARASIMHA SWAMY TEMPLE,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
78,88,7.74,BANDLAPALLE-(1227010),RC.NO.NN1/34576/07,29-12-2008,-,-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
79,88,7.74,BANDLAPALLE-(1227010),RC.NO.NN1/34576/07,29-12-2008,-,-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
80,89,17.66,BANDLAPALLE-(1227010),RC.NO.NN1/34576/07,29-12-2008,-,-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
81,89,17.66,BANDLAPALLE-(1227010),ANNEXURE III AC ENDOWMENT DEPT,29-06-2016,22 [A] [1] [C],AHOBILA NARASIMHA SWAMY TEMPLE,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
82,89,17.66,BANDLAPALLE-(1227010),RC.NO.NN1/34576/07,29-12-2008,-,-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
83,101/1,0.43,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
84,101/3,0.73,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
85,101/2,3.97,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
86,101/2,0.50,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
87,101/2,4,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
88,101/2,3.97,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
89,101/2,4,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
90,101/2,4.26,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
91,102/1A,5,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
92,102/2,3.94,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
93,102/1C,5.42,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
94,102/1B,3,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
95,104/7,0.30,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
96,104/1,4.50,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
97,104/8,4.78,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
98,104/4,0.83,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
99,104/5,2.47,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
100,104/2,0.76,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
101,104/3,4.83,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
102,104/7,1.55,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
103,104/6,2.58,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
104,110/1A,62,BANDLAPALLE-(1227010),DC ATP E4/89/2022,31-01-2022,SEC 22 AIB,-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
105,111/6,4.88,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
106,111/3,4,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
107,111/4,4,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
108,111/5,4,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
109,111/1,0.82,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
110,111/2,3.80,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
111,112/1,3.18,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
112,112/2,12.80,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
113,112/3,3.19,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
114,112/7,1.62,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
115,112/4,2.71,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
116,112/5,1.36,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
117,112/6,1.36,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
118,112/3,11.18,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
119,113/3,0.10,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
120,113/2,0.67,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
121,115/1,1.20,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
122,115/1,1.20,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
123,115/1,1.20,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
124,115/2,2.55,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
125,115/3,1.41,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
126,115/3,1.78,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
127,115/3,2.83,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
128,115/3,1.77,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
129,115/3,1.41,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
130,115/3,1.78,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
131,115/3,5,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
132,118/1,17.35,BANDLAPALLE-(1227010),E2/644/16DT 14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
133,118/2,2,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
134,118/4,0.50,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
135,118/8,1.18,BANDLAPALLE-(1227010),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,BANDLAPALLE,2026-02-25 07:14:04
