S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,23.32,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
2,7/1A2,2.15,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
3,7/1A4,1.60,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
4,7/1A3,0.53,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
5,7/1A3,0.40,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
6,7/2,0.48,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
7,7/1B,1.42,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
8,7/1A1,1.41,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
9,7/1A3,0.80,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
10,7/4,0.43,CHAMALURU-(1227003),E2/644/2016,14-03-2018,22A1A,-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
11,7/3,0.33,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
12,7/7,0.43,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
13,9/6,0.17,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
14,9/7B,2.50,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
15,9/6,0.17,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
16,9/6,0.17,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
17,9/12B,2.18,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
18,9/12B,2.94,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
19,9/5,0.87,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
20,9/3D,0.61,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
21,9/3B,0.61,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
22,9/3A2,0.61,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
23,9/3A1,0.61,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
24,9/7A1,0.47,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
25,9/7A1,3.05,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
26,9/7A1B,0.47,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
27,9/7A2,0.50,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
28,9/7A2,0.34,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
29,9/6,0.18,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
30,11/2,24.10,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
31,11/2B,0.44,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
32,11/2A,2,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
33,11/1,0.44,CHAMALURU-(1227003),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,CHAMALURU,2026-02-25 07:17:10
