S. No,Survey No,Extent(Unit),Village Name,Notification Number,Notification Date,Other Reference,Holder Name,_district,_mandal,_village,_scraped_at
1,1,102.45,GUGUDU-(1227005),E2/644/16 DT22.3.16,02-05-2016,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
2,2,0.03,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
3,2,1.78,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
4,3,4.27,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
5,5/1,1.28,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
6,5/2,5,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
7,14/1,3.46,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
8,14/5,2.58,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
9,14/4,3.13,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
10,14/3,3.35,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
11,16/1,1.44,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
12,16/2,5.18,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
13,17/2,5,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
14,17/3,5,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
15,17/1,5,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
16,17/4B,2.51,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
17,17/4A,2.52,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
18,20,0.80,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
19,21,6.34,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
20,21/B,0.10,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
21,21/A,0.03,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
22,22,3.63,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
23,31/2,2.60,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
24,32/4,0.56,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
25,32/5,1.56,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
26,32/5,1.56,GUGUDU-(1227005),IA NO.186/2020,01-09-2020,ARBITRAL TRIBUNAL ANANTAPURAM,CHARMALA NARAYANA,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
27,32/10,0.20,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
28,32/7,0.26,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
29,32/8,2.03,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
30,32/9,2.52,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
31,32/1,122.22,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
32,33/6,3.12,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
33,33/2,1.69,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
34,33/3,25,GUGUDU-(1227005),DC ATP E4/89/2022,31-01-2022,SEC 22A1B,-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
35,33/2,1.69,GUGUDU-(1227005),DC ATP E4/89/2022,31-01-2022,SEC 22A1B,-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
36,33/3,0.70,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
37,34/4,1.69,GUGUDU-(1227005),DC ATP E4/89/2022,31-01-2022,SEC 22A1B,-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
38,36,9.20,GUGUDU-(1227005),DIS NO 466/2021,26-08-2021,PRL SENIOR CIVIL JUDGE ANANTAPUR,RAM MURTHY AND OTEHRS,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
39,37/1A,5,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][A],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
40,37/3,0.21,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
41,37/2,3.68,GUGUDU-(1227005),E2/644/16DT14.3.18,20-03-2018,22A[1][B],-,ANANTAPUR,NARPALA,GUGUDU,2026-02-25 07:21:02
